x,f(x),f'(x)
1.39,0.800592,0.159644
1.4,0.802184,0.158684
1.41,0.803766,0.157726
1.42,0.805338,0.156768
1.43,0.806901,0.155811
1.44,0.808455,0.154855
1.45,0.809998,0.1539
1.46,0.811533,0.152947
1.47,0.813057,0.151995
1.48,0.814573,0.151044
1.49,0.816078,0.150094
1.5,0.817574,0.149146
1.51,0.819061,0.148199
1.52,0.820538,0.147255
1.53,0.822006,0.146311
1.54,0.823465,0.14537
1.55,0.824914,0.144431
1.56,0.826353,0.143493
1.57,0.827784,0.142557
1.58,0.829205,0.141624
1.59,0.830616,0.140693
1.6,0.832018,0.139763
1.61,0.833411,0.138836
1.62,0.834795,0.137912
1.63,0.83617,0.13699
1.64,0.837535,0.13607
1.65,0.838891,0.135152
1.66,0.840238,0.134238
1.67,0.841576,0.133326
1.68,0.842905,0.132416
1.69,0.844224,0.131509
1.7,0.845535,0.130605
1.71,0.846836,0.129704
1.72,0.848129,0.128806
1.73,0.849412,0.127911
1.74,0.850687,0.127018
1.75,0.851953,0.126129
1.76,0.85321,0.125242
1.77,0.854458,0.124359
1.78,0.855697,0.123479
1.79,0.856927,0.122602
1.8,0.858149,0.121729
1.81,0.859362,0.120859
1.82,0.860566,0.119992
1.83,0.861762,0.119128
1.84,0.862949,0.118268
1.85,0.864127,0.117411
1.86,0.865297,0.116558
1.87,0.866458,0.115708
1.88,0.867611,0.114862
1.89,0.868756,0.114019
1.9,0.869892,0.11318
1.91,0.871019,0.112344
1.92,0.872138,0.111513
1.93,0.873249,0.110684
1.94,0.874352,0.10986
1.95,0.875447,0.109039
1.96,0.876533,0.108223
1.97,0.877611,0.107409
1.98,0.878681,0.1066
1.99,0.879743,0.105795
2,0.880797,0.104993
2.01,0.881843,0.104196
2.02,0.882881,0.103402
2.03,0.883911,0.102612
2.04,0.884933,0.101826
2.05,0.885948,0.101044
2.06,0.886954,0.100266
2.07,0.887953,0.0994921
2.08,0.888944,0.0987222
2.09,0.889927,0.0979562
2.1,0.890903,0.0971943
2.11,0.891871,0.0964365
2.12,0.892832,0.0956827
2.13,0.893785,0.094933
2.14,0.894731,0.0941874
2.15,0.895669,0.0934458
2.16,0.8966,0.0927084
2.17,0.897523,0.0919751
2.18,0.898439,0.0912459
2.19,0.899348,0.0905209
2.2,0.90025,0.0898
2.21,0.901144,0.0890832
2.22,0.902031,0.0883706
2.23,0.902911,0.0876621
2.24,0.903784,0.0869578
2.25,0.904651,0.0862576
2.26,0.90551,0.0855616
2.27,0.906362,0.0848698
2.28,0.907207,0.0841821
2.29,0.908045,0.0834986
2.3,0.908877,0.0828192
2.31,0.909702,0.0821441
2.32,0.91052,0.081473
2.33,0.911331,0.0808062
2.34,0.912136,0.0801435
2.35,0.912934,0.079485
2.36,0.913726,0.0788306
2.37,0.914511,0.0781804
2.38,0.915289,0.0775344
2.39,0.916062,0.0768925
2.4,0.916827,0.0762547
2.41,0.917587,0.075621
2.42,0.91834,0.0749915
2.43,0.919087,0.0743662
2.44,0.919827,0.0737449
2.45,0.920561,0.0731278
2.46,0.92129,0.0725147
2.47,0.922012,0.0719058
2.48,0.922728,0.0713009
2.49,0.923438,0.0707001
2.5,0.924142,0.0701034
2.51,0.92484,0.0695108
2.52,0.925532,0.0689222
2.53,0.926218,0.0683376
2.54,0.926899,0.0677571
2.55,0.927574,0.0671806
2.56,0.928242,0.0666081
2.57,0.928906,0.0660396
2.58,0.929563,0.0654751
2.59,0.930215,0.0649146
2.6,0.930862,0.064358
2.61,0.931502,0.0638054
2.62,0.932138,0.0632567
2.63,0.932768,0.062712
2.64,0.933392,0.0621711
2.65,0.934011,0.0616342
2.66,0.934625,0.0611011
2.67,0.935233,0.0605719
2.68,0.935836,0.0600466
2.69,0.936434,0.0595251
2.7,0.937027,0.0590075
2.71,0.937614,0.0584936
2.72,0.938197,0.0579835
2.73,0.938774,0.0574773
2.74,0.939346,0.0569748
2.75,0.939913,0.056476
2.76,0.940476,0.055981
2.77,0.941033,0.0554897
2.78,0.941585,0.0550021
2.79,0.942133,0.0545181
2.8,0.942676,0.0540379
2.81,0.943214,0.0535613
2.82,0.943747,0.0530883
2.83,0.944276,0.052619
2.84,0.944799,0.0521532
2.85,0.945319,0.051691
2.86,0.945833,0.0512324
2.87,0.946343,0.0507774
2.88,0.946849,0.0503259
2.89,0.94735,0.0498779
2.9,0.947846,0.0494333
2.91,0.948339,0.0489923
2.92,0.948826,0.0485547
2.93,0.94931,0.0481206
2.94,0.949789,0.0476899
2.95,0.950263,0.0472626
2.96,0.950734,0.0468387
2.97,0.9512,0.0464181
2.98,0.951662,0.0460009
2.99,0.95212,0.045587
3,0.952574,0.0451765
3.01,0.953024,0.0447692
3.02,0.95347,0.0443652
3.03,0.953911,0.0439644
3.04,0.954349,0.0435669
3.05,0.954783,0.0431727
3.06,0.955212,0.0427816
3.07,0.955638,0.0423937
3.08,0.95606,0.0420089
3.09,0.956478,0.0416273
3.1,0.956893,0.0412488
3.11,0.957303,0.0408735
3.12,0.95771,0.0405012
3.13,0.958113,0.0401319
3.14,0.958513,0.0397658
3.15,0.958909,0.0394026
3.16,0.959301,0.0390425
3.17,0.95969,0.0386853
3.18,0.960075,0.0383311
3.19,0.960456,0.0379799
3.2,0.960834,0.0376316
3.21,0.961209,0.0372862
3.22,0.96158,0.0369437
3.23,0.961948,0.0366041
3.24,0.962312,0.0362673
3.25,0.962673,0.0359334
3.26,0.963031,0.0356023
3.27,0.963385,0.035274
3.28,0.963736,0.0349485
3.29,0.964084,0.0346257
3.3,0.964429,0.0343057
3.31,0.96477,0.0339884
3.32,0.965109,0.0336738
3.33,0.965444,0.0333619
3.34,0.965776,0.0330527
3.35,0.966105,0.0327461
3.36,0.966431,0.0324422
3.37,0.966754,0.0321408
3.38,0.967074,0.0318421
3.39,0.967391,0.0315459
3.4,0.967705,0.0312523
3.41,0.968016,0.0309613
3.42,0.968324,0.0306727
3.43,0.968629,0.0303867
3.44,0.968932,0.0301031
3.45,0.969231,0.029822
3.46,0.969528,0.0295433
3.47,0.969822,0.0292671
3.48,0.970113,0.0289933
3.49,0.970402,0.0287219
3.5,0.970688,0.0284529
3.51,0.970971,0.0281862
3.52,0.971252,0.0279219
3.53,0.971529,0.0276599
3.54,0.971805,0.0274002
3.55,0.972077,0.0271428
3.56,0.972348,0.0268876
3.57,0.972615,0.0266348
3.58,0.97288,0.0263841
3.59,0.973143,0.0261357
3.6,0.973403,0.0258895
3.61,0.973661,0.0256454
3.62,0.973916,0.0254036
3.63,0.974169,0.0251639
3.64,0.974419,0.0249263
3.65,0.974667,0.0246908
3.66,0.974913,0.0244575
3.67,0.975156,0.0242262
3.68,0.975398,0.023997
3.69,0.975636,0.0237699
3.7,0.975873,0.0235448
3.71,0.976107,0.0233217
3.72,0.976339,0.0231006
3.73,0.976569,0.0228816
3.74,0.976797,0.0226645
3.75,0.977023,0.0224493
3.76,0.977246,0.0222361
3.77,0.977467,0.0220248
3.78,0.977687,0.0218154
3.79,0.977904,0.021608
3.8,0.978119,0.0214024
3.81,0.978332,0.0211987
3.82,0.978543,0.0209968
3.83,0.978752,0.0207967
3.84,0.978959,0.0205985
3.85,0.979164,0.0204021
3.86,0.979367,0.0202075
3.87,0.979568,0.0200146
3.88,0.979767,0.0198235
3.89,0.979964,0.0196342
3.9,0.98016,0.0194466
3.91,0.980353,0.0192607
3.92,0.980545,0.0190765
3.93,0.980735,0.018894
3.94,0.980923,0.0187132
3.95,0.981109,0.018534
3.96,0.981293,0.0183565
3.97,0.981476,0.0181806
3.98,0.981657,0.0180063
3.99,0.981836,0.0178337
4,0.982014,0.0176626
4.01,0.98219,0.0174931
4.02,0.982364,0.0173252
4.03,0.982536,0.0171588
4.04,0.982707,0.016994
4.05,0.982876,0.0168307
4.06,0.983043,0.0166689
4.07,0.983209,0.0165086
4.08,0.983374,0.0163498
4.09,0.983536,0.0161925
